Local time,Open,High,Low,Close,Volume
31.12.2021 23:00:00.000 GMT+0100,4772.339,4772.339,4772.339,4772.339,0
01.01.2022 23:00:00.000 GMT+0100,4772.339,4772.339,4772.339,4772.339,0
02.01.2022 23:00:00.000 GMT+0100,4779.636,4799.342,4755.933,4793.945,154.357
03.01.2022 23:00:00.000 GMT+0100,4794.036,4816.999,4773.636,4790.836,141.3611
04.01.2022 23:00:00.000 GMT+0100,4792.048,4797.145,4698.099,4707.042,190.4818
05.01.2022 23:00:00.000 GMT+0100,4701.248,4725.348,4671.133,4701.051,322.7452
06.01.2022 23:00:00.000 GMT+0100,4706.254,4714.299,4662.742,4676.799,230.57189999999997
07.01.2022 23:00:00.000 GMT+0100,4676.799,4676.799,4676.799,4676.799,0
08.01.2022 23:00:00.000 GMT+0100,4676.799,4676.799,4676.799,4676.799,0
09.01.2022 23:00:00.000 GMT+0100,4679.142,4690.299,4581.000,4670.048,286.4454999999999
10.01.2022 23:00:00.000 GMT+0100,4672.545,4716.248,4636.333,4713.451,253.0642
11.01.2022 23:00:00.000 GMT+0100,4713.742,4748.399,4703.733,4730.245,206.03889999999998
12.01.2022 23:00:00.000 GMT+0100,4727.499,4744.651,4650.933,4660.133,214.18580000000003
13.01.2022 23:00:00.000 GMT+0100,4662.851,4675.154,4614.442,4667.699,325.1564
14.01.2022 23:00:00.000 GMT+0100,4667.699,4667.699,4667.699,4667.699,0
15.01.2022 23:00:00.000 GMT+0100,4667.699,4667.699,4667.699,4667.699,0
16.01.2022 23:00:00.000 GMT+0100,4674.642,4679.651,4647.151,4661.751,124.02000000000001
17.01.2022 23:00:00.000 GMT+0100,4665.845,4670.199,4568.333,4580.251,309.8733000000001
18.01.2022 23:00:00.000 GMT+0100,4587.439,4611.142,4529.033,4532.736,315.78630000000004
19.01.2022 23:00:00.000 GMT+0100,4533.536,4601.899,4472.548,4474.533,303.2653000000001
20.01.2022 23:00:00.000 GMT+0100,4464.736,4494.352,4390.036,4393.251,426.96380000000005
21.01.2022 23:00:00.000 GMT+0100,4393.251,4393.251,4393.251,4393.251,0
22.01.2022 23:00:00.000 GMT+0100,4393.251,4393.251,4393.251,4393.251,0
23.01.2022 23:00:00.000 GMT+0100,4396.142,4435.052,4220.633,4413.348,619.1302000000001
24.01.2022 23:00:00.000 GMT+0100,4410.236,4414.051,4284.139,4344.054,795.6382
25.01.2022 23:00:00.000 GMT+0100,4318.854,4454.599,4303.031,4337.433,584.174
26.01.2022 23:00:00.000 GMT+0100,4356.448,4429.848,4271.745,4331.148,480.2599
27.01.2022 23:00:00.000 GMT+0100,4357.536,4434.036,4273.745,4421.248,448.44620000000003
28.01.2022 23:00:00.000 GMT+0100,4421.248,4421.248,4421.248,4421.248,0
29.01.2022 23:00:00.000 GMT+0100,4421.248,4421.248,4421.248,4421.248,0
30.01.2022 23:00:00.000 GMT+0100,4431.599,4516.854,4403.742,4500.133,246.07780000000002
31.01.2022 23:00:00.000 GMT+0100,4502.748,4551.299,4483.333,4550.542,238.93500000000006
01.02.2022 23:00:00.000 GMT+0100,4561.139,4594.697,4544.736,4554.533,308.2632999999999
02.02.2022 23:00:00.000 GMT+0100,4553.540,4556.552,4470.839,4508.733,351.16400000000004
03.02.2022 23:00:00.000 GMT+0100,4525.133,4540.942,4446.936,4495.451,405.9230999999999
04.02.2022 23:00:00.000 GMT+0100,4495.451,4495.451,4495.451,4495.451,0
05.02.2022 23:00:00.000 GMT+0100,4495.451,4495.451,4495.451,4495.451,0
06.02.2022 23:00:00.000 GMT+0100,4505.251,4523.097,4471.536,4491.442,355.716
07.02.2022 23:00:00.000 GMT+0100,4492.751,4531.845,4465.254,4523.942,270.97419999999994
08.02.2022 23:00:00.000 GMT+0100,4525.854,4590.048,4525.233,4587.533,171.2431
09.02.2022 23:00:00.000 GMT+0100,4590.399,4590.399,4483.949,4499.745,321.7138
10.02.2022 23:00:00.000 GMT+0100,4502.248,4527.639,4400.233,4419.745,307.8544
11.02.2022 23:00:00.000 GMT+0100,4419.745,4419.745,4419.745,4419.745,0
12.02.2022 23:00:00.000 GMT+0100,4419.745,4419.745,4419.745,4419.745,0
13.02.2022 23:00:00.000 GMT+0100,4418.254,4434.154,4360.639,4403.542,349.20799999999997
14.02.2022 23:00:00.000 GMT+0100,4401.954,4474.746,4388.736,4460.942,214.6593
15.02.2022 23:00:00.000 GMT+0100,4464.605,4489.854,4429.242,4470.948,188.7243
16.02.2022 23:00:00.000 GMT+0100,4471.751,4479.499,4372.239,4379.299,310.4469
17.02.2022 23:00:00.000 GMT+0100,4378.148,4415.799,4326.236,4354.942,437.8183
18.02.2022 23:00:00.000 GMT+0100,4354.942,4354.942,4354.942,4354.942,0
19.02.2022 23:00:00.000 GMT+0100,4354.942,4354.942,4354.942,4354.942,0
20.02.2022 23:00:00.000 GMT+0100,4326.670,4396.189,4290.599,4292.154,206.37679999999997
21.02.2022 23:00:00.000 GMT+0100,4272.133,4363.799,4255.154,4319.942,686.5433999999999
22.02.2022 23:00:00.000 GMT+0100,4315.433,4349.699,4221.033,4228.748,426.1173999999999
23.02.2022 23:00:00.000 GMT+0100,4220.052,4295.348,4106.536,4271.448,766.8963000000001
24.02.2022 23:00:00.000 GMT+0100,4271.836,4387.899,4232.351,4383.851,649.5918
25.02.2022 23:00:00.000 GMT+0100,4383.851,4383.851,4383.851,4383.851,0
26.02.2022 23:00:00.000 GMT+0100,4383.851,4383.851,4383.851,4383.851,0
27.02.2022 23:00:00.000 GMT+0100,4298.654,4389.648,4257.536,4372.342,737.8883000000001
28.02.2022 23:00:00.000 GMT+0100,4373.148,4402.699,4278.939,4317.645,583.2197000000001
01.03.2022 23:00:00.000 GMT+0100,4313.651,4402.336,4282.142,4381.539,556.8907999999999
02.03.2022 23:00:00.000 GMT+0100,4376.739,4421.299,4343.833,4367.051,443.65349999999995
03.03.2022 23:00:00.000 GMT+0100,4370.039,4377.042,4284.533,4323.236,643.6575000000001
04.03.2022 23:00:00.000 GMT+0100,4323.236,4323.236,4323.236,4323.236,0
05.03.2022 23:00:00.000 GMT+0100,4323.236,4323.236,4323.236,4323.236,0
06.03.2022 23:00:00.000 GMT+0100,4307.942,4327.999,4187.536,4195.031,715.3945000000001
07.03.2022 23:00:00.000 GMT+0100,4188.248,4277.199,4141.051,4160.151,452.059
08.03.2022 23:00:00.000 GMT+0100,4154.299,4299.843,4153.654,4275.545,346.5063
09.03.2022 23:00:00.000 GMT+0100,4280.733,4283.299,4209.333,4262.254,292.9787
10.03.2022 23:00:00.000 GMT+0100,4261.743,4337.699,4199.442,4206.842,282.61560000000003
11.03.2022 23:00:00.000 GMT+0100,4206.842,4206.842,4206.842,4206.842,0
12.03.2022 23:00:00.000 GMT+0100,4206.842,4206.842,4206.842,4206.842,0
13.03.2022 22:00:00.000 GMT+0100,4220.954,4253.654,4160.948,4180.854,311.28510000000006
14.03.2022 22:00:00.000 GMT+0100,4181.533,4270.799,4138.033,4255.145,274.8586
15.03.2022 22:00:00.000 GMT+0100,4257.654,4361.548,4247.142,4357.339,266.76359999999994
16.03.2022 22:00:00.000 GMT+0100,4367.648,4415.548,4328.833,4404.333,221.30590000000004
17.03.2022 22:00:00.000 GMT+0100,4395.254,4467.697,4373.548,4465.848,203.05780000000001
18.03.2022 22:00:00.000 GMT+0100,4465.848,4465.848,4465.848,4465.848,0
19.03.2022 22:00:00.000 GMT+0100,4465.848,4465.848,4465.848,4465.848,0
20.03.2022 22:00:00.000 GMT+0100,4465.742,4482.054,4424.233,4464.551,273.7485000000001
21.03.2022 22:00:00.000 GMT+0100,4464.933,4522.443,4441.037,4512.848,191.0174
22.03.2022 22:00:00.000 GMT+0100,4510.199,4521.699,4452.336,4454.899,218.14159999999998
23.03.2022 22:00:00.000 GMT+0100,4456.436,4522.999,4453.036,4521.133,221.0173
24.03.2022 22:00:00.000 GMT+0100,4524.248,4546.299,4500.733,4542.451,247.08379999999997
25.03.2022 22:00:00.000 GMT+0100,4542.451,4542.451,4542.451,4542.451,0
26.03.2022 22:00:00.000 GMT+0100,4542.451,4542.451,4542.451,4542.451,0
27.03.2022 23:00:00.000 GMT+0200,4539.245,4578.954,4517.039,4577.254,227.3112
28.03.2022 23:00:00.000 GMT+0200,4576.648,4636.854,4572.239,4626.242,219.75570000000005
29.03.2022 23:00:00.000 GMT+0200,4626.733,4633.299,4579.954,4606.139,179.10390000000004
30.03.2022 23:00:00.000 GMT+0200,4606.633,4619.399,4531.733,4547.651,173.5744
31.03.2022 23:00:00.000 GMT+0200,4546.051,4560.651,4506.736,4537.345,189.0571
01.04.2022 23:00:00.000 GMT+0200,4537.345,4537.345,4537.345,4537.345,0
02.04.2022 23:00:00.000 GMT+0200,4537.345,4537.345,4537.345,4537.345,0
03.04.2022 23:00:00.000 GMT+0200,4543.636,4585.499,4533.154,4581.433,136.12869999999998
04.04.2022 23:00:00.000 GMT+0200,4580.833,4593.799,4513.442,4527.336,156.09179999999998
05.04.2022 23:00:00.000 GMT+0200,4531.342,4533.399,4449.345,4478.754,294.8498
06.04.2022 23:00:00.000 GMT+0200,4475.448,4522.054,4450.299,4503.454,246.8698
07.04.2022 23:00:00.000 GMT+0200,4500.636,4525.451,4474.545,4489.546,178.88950000000003
08.04.2022 23:00:00.000 GMT+0200,4489.546,4489.546,4489.546,4489.546,0
09.04.2022 23:00:00.000 GMT+0200,4489.546,4489.546,4489.546,4489.546,0
10.04.2022 23:00:00.000 GMT+0200,4493.536,4496.251,4408.833,4412.548,178.6598
11.04.2022 23:00:00.000 GMT+0200,4415.651,4471.799,4380.733,4400.139,189.1546
12.04.2022 23:00:00.000 GMT+0200,4400.742,4454.154,4388.733,4442.733,150.06670000000003
13.04.2022 23:00:00.000 GMT+0200,4443.299,4460.399,4389.733,4390.036,134.91119999999998
14.04.2022 23:00:00.000 GMT+0200,4390.036,4390.036,4390.036,4390.036,0
15.04.2022 23:00:00.000 GMT+0200,4390.036,4390.036,4390.036,4390.036,0
16.04.2022 23:00:00.000 GMT+0200,4390.036,4390.036,4390.036,4390.036,0
17.04.2022 23:00:00.000 GMT+0200,4386.454,4410.851,4360.248,4405.036,122.4894
18.04.2022 23:00:00.000 GMT+0200,4405.645,4471.652,4376.542,4438.945,137.60250000000002
19.04.2022 23:00:00.000 GMT+0200,4443.034,4488.899,4437.739,4470.736,166.90619999999998
20.04.2022 23:00:00.000 GMT+0200,4473.054,4513.654,4384.134,4391.036,312.37409999999994
21.04.2022 23:00:00.000 GMT+0200,4391.054,4397.054,4256.648,4259.433,368.0326
22.04.2022 23:00:00.000 GMT+0200,4259.433,4259.433,4259.433,4259.433,0
23.04.2022 23:00:00.000 GMT+0200,4259.433,4259.433,4259.433,4259.433,0
24.04.2022 23:00:00.000 GMT+0200,4267.136,4300.399,4199.436,4293.899,531.8203
25.04.2022 23:00:00.000 GMT+0200,4297.233,4307.542,4150.551,4158.751,365.64500000000004
26.04.2022 23:00:00.000 GMT+0200,4157.951,4241.654,4154.239,4196.054,525.848
27.04.2022 23:00:00.000 GMT+0200,4220.836,4308.748,4187.936,4263.133,389.1763
28.04.2022 23:00:00.000 GMT+0200,4240.739,4284.554,4123.945,4146.039,439.5341
29.04.2022 23:00:00.000 GMT+0200,4146.039,4146.039,4146.039,4146.039,0
30.04.2022 23:00:00.000 GMT+0200,4146.039,4146.039,4146.039,4146.039,0
01.05.2022 23:00:00.000 GMT+0200,4141.448,4170.348,4061.633,4149.545,569.5045
02.05.2022 23:00:00.000 GMT+0200,4151.999,4200.842,4134.433,4178.599,466.26770000000005
03.05.2022 23:00:00.000 GMT+0200,4176.242,4308.199,4148.139,4294.233,380.25960000000003
04.05.2022 23:00:00.000 GMT+0200,4294.648,4305.399,4105.131,4156.933,514.2902
05.05.2022 23:00:00.000 GMT+0200,4150.142,4158.154,4067.245,4110.299,673.7542000000001
06.05.2022 23:00:00.000 GMT+0200,4110.299,4110.299,4110.299,4110.299,0
07.05.2022 23:00:00.000 GMT+0200,4110.299,4110.299,4110.299,4110.299,0
08.05.2022 23:00:00.000 GMT+0200,4102.245,4103.445,3975.054,4003.454,616.4640999999999
09.05.2022 23:00:00.000 GMT+0200,3998.436,4070.399,3957.331,3996.736,655.5194000000001
10.05.2022 23:00:00.000 GMT+0200,3994.854,4054.551,3928.633,3945.039,623.7917
11.05.2022 23:00:00.000 GMT+0200,3943.497,3965.139,3858.833,3925.045,619.5191
12.05.2022 23:00:00.000 GMT+0200,3922.445,4039.699,3919.548,4015.236,207.9882
13.05.2022 23:00:00.000 GMT+0200,4015.236,4015.236,4015.236,4015.236,0
14.05.2022 23:00:00.000 GMT+0200,4015.236,4015.236,4015.236,4015.236,0
15.05.2022 23:00:00.000 GMT+0200,4028.233,4046.746,3983.133,4006.445,269.92449999999997
